# Data compiled from Morgan (2003)
# atom   state   wavelength   f_jk       damping_coeff   amu       
  P      III     913.9683     0.203      4.79E9           30.973761 
  P      IV      950.6569     1.49       3.67e9           30.973761 
  P      V       1128.0078    0.233      1.22e9           30.973761 
  P      V       1117.9774    0.472      1.26e9           30.973761 
  S      I       1807.3113    0.0905     5.33e8           32.066    
  S      I       1473.9943    0.0828     1.82e8           32.066    
  S      I       1295.6531    0.087      3.46e8           32.066    
  S      II      1259.519     0.0166     4.65e7           32.066    
  S      II      1253.811     0.0109     4.62e7           32.066    
  S      II      1250.584     0.00543    4.63e7           32.066    
  S      III     1190.203     0.0237     6.65e7           32.066    
  S      III     1012.495     0.0438     2.81e8           32.066    
  S      IV      1062.664     0.0494     1.69e8           32.066    
  S      VI      944.523      0.215      1.61e9           32.066    
  S      VI      933.378      0.437      1.67e9           32.066    
  Cl     I       1347.2396    0.153      6.62e8           35.4527   
  Ar     I       1066.6598    0.0675     1.32e8           39.948    
  Ar     I       1048.2199    0.263      3.18e7           39.948    
  Ca     I       4227.918     1.77       2.200e8          40.078    
  Ca     I       2276.169     0.0661     2.84e7           40.078    
  Ca     II      3934.775     0.6267     1.444e8          40.078    
  Ca     II      3969.5901    0.3116     1.409e8          40.078    
  Sc     II      3643.822     0.375      1.61E8           44.95591  
  Sc     II      3581.947     0.237      2.13E8           44.95591  
  Sc     II      3568.715     0.111      2.13E8           44.95591  
  Sc     II      2563.958     0.0887     2.70E8           44.95591  
  Sc     III     1610.194     0.0866     4.46E8           44.95591  
  Sc     III     1603.064     0.0175     4.56E7           44.95591  
  Ti     II      3384.7304    0.358      1.75e8           47.867    
  Ti     II      3242.9184    0.232      2.44e8           47.867    
  Ti     II      3230.1221    0.0687     2.44e8           47.867    
  Ti     II      3073.8633    0.121      2.56e8           47.867    
  Ti     II      3067.2379    0.0489     2.500e8          47.867    
  Ti     II      1910.9538    0.098      1.43E8           47.867    
  Ti     II      1910.6123    0.104      4.17E8           47.867    
  Ti     III     1298.697     0.0964     6.35e8           47.867    
  Ti     III     1295.884     0.0418     1.66e8           47.867    
  V      II      2740.525     0.101      3.00E7           50.9415   
  V      II      2706.021     0.0142     2.13E8           50.9415   
  V      II      2683.887     0.109      2.86E8           50.9415   
  V      II      2141.767     0.00805    3.9E6            50.9415   
  V      II      2138.827     0.082      4.0E7            50.9415   
  V      II      1106.571     0.123      2.24E8           50.9415   
  V      II      1106.449     0.0239     4.34E7           50.9415   
  V      II      1104.332     0.00356    6.5E6            50.9415   
  Cr     II      2066.16403   0.0512     4.17e8           51.9961   
  Cr     II      2062.2361    0.0759     4.06e8           51.9961   
  Cr     II      2056.25693   0.103      4.07e8           51.9961   
  Mn     II      2606.462     0.198      2.72e8           54.938049 
  Mn     II      2594.499     0.28       2.78e8           54.938049 
  Mn     II      2576.877     0.361      2.82e8           54.938049 
  Mn     II      1201.118     0.121      7.85e8           54.938049 
  Mn     II      1199.391     0.169      7.85e8           54.938049 
  Mn     II      1197.184     0.217      7.84e8           54.938049 
  Mn     II      1162.015     0.0102     3.90e7           54.938049 
  Fe     I       3720.9928    0.0411     1.63e7           55.845    
  Fe     I       3021.5187    0.104      1.69E8           55.845    
  Fe     I       2967.7646    0.0438     1.27E8           55.845    
  Fe     I       2719.8329    0.122      1.75E8           55.845    
  Fe     I       2523.6083    0.203      3.85E8           55.845    
  Fe     I       2501.8858    0.0493     3.85E8           55.845    
  Fe     I       2484.0209    0.544      5.000E8          55.845    
  Fe     I       2463.3922    0.0532     5.000E8          55.845    
  Fe     I       2298.8769    0.0245     1.350E8          55.845    
  Fe     I       2167.4534    0.15       2.74E8           55.845    
  Fe     I       2132.69      0.0052     6.00E8           55.845    
  Fe     I       2084.785     0.0189     6.00E8           55.845    
  Fe     I       1937.268     0.00945    2.161E7          55.845    
  Fe     I       1934.5351    0.0111     2.55E7           55.845    
  Fe     I       1875.158     0.00874    1.659E7          55.845    
  Fe     I       1851.69      0.0222     5.558E7          55.845    
  Fe     II      2600.1724835 0.2394     2.70e8           55.845    
  Fe     II      2586.6495659 0.069125   2.72E8           55.845    
  Fe     II      2382.7641781 0.32       3.13E8           55.845    
  Fe     II      2374.4603294 0.0313     3.09E8           55.845    
  Fe     II      2367.5895925 2.16E-5    3.07e8           55.845    
  Fe     II      2344.2129601 0.1142     2.680e8          55.845    
  Fe     II      2260.7805    0.00244    2.58e8           55.845    
  Fe     II      2234.4472    2.52E-5    2.75e8           55.845    
  Fe     II      2249.8768    0.001821   3.31e8           55.845    
  Fe     II      1901.773     7.0E-5     1.61E5           55.845    
  Fe     II      1611.20034   0.00138    2.86e8           55.845    
  Fe     II      1608.45085   0.0577     2.74e8           55.845    
  Fe     II      1588.6876    1.48E-4    4.89e5           55.845    
  Fe     II      1260.533     0.024      1.26E8           55.845    
  Fe     II      1144.9379    0.083      3.520E8          55.845    
  Fe     II      1143.226     0.0192     9.81e7           55.845    
  Fe     II      1142.3656    0.00401    2.56e7           55.845    
  Fe     II      1133.6654    0.00472    3.06e7           55.845    
  Fe     II      1127.0984    0.00112    5.89e6           55.845    
  Fe     II      1125.4477    0.0156     1.03E8           55.845    
  Fe     II      1121.9748    0.029      1.92e8           55.845    
  Fe     II      1112.048     0.00446    2.000E7          55.845    
  Fe     II      1106.3596    3.94E-4    2.15e6           55.845    
  Fe     II      1096.8769    0.0327     2.260E8          55.845    
  Fe     II      1083.4204    0.0028     2.000E8          55.845    
  Fe     II      1081.8748    0.0126     2.000E8          55.845    
  Fe     II      1063.9718    0.00475    3.50e7           55.845    
  Fe     II      1063.1764    0.0547     3.23E8           55.845    
  Fe     II      1062.1517    0.00291    1.72e7           55.845    
  Fe     II      1055.2617    0.00615    4.61e7           55.845    
  Fe     III     1214.562     2.39E-4    1.39e6           55.845    
  Fe     III     1122.524     0.0544     3.70e8           55.845    
  Co     II      2059.4756    0.00751    2.78e8           58.9332   
  Co     II      2026.4122    0.0125     3.03e8           58.9332   
  Co     II      2012.1664    0.0368     3.45e8           58.9332   
  Co     II      1941.2852    0.034      4.35e8           58.9332   
  Co     II      1574.5508    0.025      6.73e7           58.9332   
  Co     II      1572.6489    0.012      4.16e7           58.9332   
  Co     II      1552.7624    0.0116     3.21e7           58.9332   
  Co     II      1480.9546    0.0119     4.65e7           58.9332   
  Co     II      1466.211     0.031      3.78e7           58.9332   
  Co     II      1424.7866    0.0109     3.58e7           58.9332   
  Ni     I       2320.7468    0.685      6.94E8           58.6934   
  Ni     I       2311.669     0.3765     4.700E8          58.6934   
  Ni     II      1751.9157    0.0277     3.70E8           58.6934   
  Ni     II      1741.5531    0.0427     5.00E8           58.6934   
  Ni     II      1709.6042    0.0324     4.35e8           58.6934   
  Ni     II      1703.4119    0.01224    5.00E8           58.6934   
  Ni     II      1502.148     0.0060     3.932E7          58.6934   
  Ni     II      1467.756     0.0099     2.30E7           58.6934   
  Ni     II      1467.259     0.0063     2.93E7           58.6934   
  Ni     II      1454.842     0.0323     1.02E8           58.6934   
  Ni     II      1393.324     0.02222    3.47E7           58.6934   
  Ni     II      1370.132     0.0769     4.10e8           58.6934   
  Ni     II      1317.217     0.146      4.205e8          58.6934   
  Cu     II      1367.9509    0.179      6.23e8           63.546    
  Cu     II      1358.773     0.263      7.20e8           63.546    
  Zn     I       2138.5735    1.47       7.14e8           65.39     
  Zn     II      2062.66045   0.246      3.86e8           65.39     
  Zn     II      2026.13709   0.501      4.07e8           65.39     
  Ga     II      1414.402     1.77       1.97e9           69.723    
  Ge     II      1602.4863    0.144      1.06E9           72.61     
  Ge     II      1237.0591    1.23       2.68e9           72.61     
  Ge     II      1164.272     0.28       1.38e9           72.61     
  As     II      1263.77      0.259      3.61E8           74.9216   
  As     II      1207.449     0.0234     3.56E7           74.9216   
  As     II      1181.538     0.0309     4.92E7           74.9216   
  Se     I       1530.457     0.26       5.28e8           78.96     
  Se     I       1405.382     0.105      2.54e8           78.96     
  Se     I       1353.899     0.0503     1.31e8           78.96     
  Se     II      1049.648     0.0823     9.96e8           78.96     
  Se     II      1033.556     0.165      1.03e9           78.96     
  Se     II      1013.434     0.263      1.14e9           78.96     
